Country,SDGi,Life Expectancy,HDI,Per Capita GDP,Region,Income Group,Population,Cropland Footprint,Grazing Footprint,Forest Product Footprint,Carbon Footprint,Fish Footprint,Built up land,Total Ecological Footprint (Production),Cropland Footprint,Grazing Footprint,Forest Product Footprint,Carbon Footprint,Fish Footprint,Built up land,Total Ecological Footprint (Consumption),Cropland,Grazing land,Forest land,Fishing ground,Built up land,Total biocapacity ,Ecological (Deficit) or Reserve,Number of Earths required,Number of Countries required,Year,Other renewables,Biofuels consumption,Solar consumption,Wind consumption,Hydro consumption,Nuclear consumption,Gas consumption,Coal consumption,Oil consumption,CO2 emissions,Urbanization
Guatemala,60.9,73,0.64,8156.23,Central America/Caribbean,LM, 17.6 ,0.3,0.1,0.5,0.4,0.1,0.2,1.6,0.4,0.2,0.6,0.5,0.1,0.2,1.9,0.3,0.1,0.3,0.0,0.2,1.0,(1.0),1.2,2.0,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19303848,0.51
Guinea,51.7,60,0.47,2405.89,Africa,LI, 12.8 ,0.3,0.5,0.4,0.1,0.1,0.0,1.4,0.4,0.5,0.4,0.1,0.1,0.0,1.6,0.3,0.7,0.5,0.3,0.0,1.8,0.2 ,1.1,0.9,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3920951,0.36
Guinea-Bissau,,61,0.49,2330.24,Africa,LI, 1.9 ,0.5,0.1,0.6,0.0,0.1,0.0,1.3,0.4,0.1,0.6,0.1,0.1,0.0,1.3,0.5,0.1,0.3,1.5,0.0,2.4,1.1 ,0.8,0.5,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,322432,0.44
Guyana,62.3,69,0.71,13052.2,South America,LM, 0.8 ,,,,,,,3.8,,,,,,,4.6,,,,,,71.4,66.9 ,2.9,0.1,2019,0,0,0,0,0,0,0,0,0,2755782,0.27
Haiti,52.9,64,0.54,2989.79,Central America/Caribbean,LI, 11.3 ,0.2,0.0,0.1,0.1,0.0,0.0,0.4,0.3,0.0,0.1,0.1,0.0,0.0,0.6,0.2,0.0,0.0,0.0,0.0,0.3,(0.4),0.4,2.4,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3128113,0.56
Honduras,63.4,73,0.63,5721.95,Central America/Caribbean,LM, 9.7 ,,,,,,,1.4,,,,,,,1.5,,,,,,1.8,0.3 ,1.0,0.9,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,11218794,0.58
Hungary,78.6,76,0.85,32952.9,EU-28,HI, 9.7 ,1.7,0.0,0.3,1.7,0.0,0.1,3.8,1.1,0.1,0.4,2.2,0.0,0.1,4.0,1.7,0.1,0.7,0.0,0.1,2.6,(1.4),2.6,1.5,2019,7.154569,2.3346112,3.9460506,1.9216238,0.577278,41.199978,98.44,21.386988,97.93139,49165744,0.72
India,60.4,71,0.65,6683.45,Asia-Pacific,LM, 1.366.4 ,0.3,0.0,0.1,0.6,0.0,0.1,1.0,0.3,0.0,0.1,0.6,0.0,0.1,1.1,0.3,0.0,0.0,0.0,0.1,0.4,(0.7),0.7,3.0,2019,100.591385,12.995578,121.96038,166.89456,427.20215,114.238106,592.4984,4989.023,2791.946,2612888000,0.34
Indonesia,68.4,71,0.72,11976.5,Asia-Pacific,LM, 270.6 ,0.5,0.0,0.3,0.7,0.2,0.1,1.8,0.5,0.0,0.2,0.7,0.2,0.1,1.7,0.5,0.1,0.3,0.3,0.1,1.2,(0.4),1.1,1.4,2019,74.551346,58.482487,0.31178278,1.2758105,55.779808,0,454.6844,801.23114,853.31287,653791600,0.56
"Iran, Islamic Republic of",68.6,76,0.78,14840.7,Middle East/Central Asia,UM, 82.9 ,0.4,0.1,0.0,2.4,0.2,0.1,3.0,0.6,0.1,0.0,2.2,0.1,0.1,3.2,0.4,0.1,0.1,0.2,0.1,0.8,(2.4),2.0,4.2,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Iraq,62.5,72,0.70,11483.1,Middle East/Central Asia,LM, 39.3 ,0.2,0.0,0.0,1.1,0.0,0.0,1.4,0.5,0.0,0.0,1.2,0.0,0.0,1.8,0.2,0.0,0.0,0.0,0.0,0.3,(1.5),1.2,5.7,2019,0,0,0.9925622,0,13.083027,0,194.95229,0,430.65488,190233920,0.71
Ireland,80.7,83,0.94,86744.3,EU-28,HI, 4.9 ,0.5,0.8,0.5,2.4,0.3,0.1,4.6,1.1,0.3,0.6,2.6,0.2,0.1,4.9,0.5,0.8,0.5,1.4,0.1,3.3,(1.6),3.1,1.5,2019,2.7286484,2.17813,0.087675,26.411085,2.3370109,0,53.158844,11.740789,88.71635,37323388,0.63
Israel,73.2,83,0.92,40710.9,Middle East/Central Asia,HI, 8.5 ,0.2,0.0,0.0,2.5,0.0,0.1,2.7,0.9,0.3,0.3,2.9,0.1,0.1,4.6,0.2,0.0,0.0,0.0,0.1,0.3,(4.3),2.9,16.9,2019,0.34141248,0.48680413,8.209736,0.16185749,0.058109164,0,107.21879,57.898838,127.13039,58655656,0.93
Italy,77.9,83,0.90,42892.6,EU-28,HI, 60.6 ,0.4,0.1,0.2,1.8,0.0,0.1,2.5,0.8,0.3,0.5,2.2,0.2,0.1,4.2,0.4,0.1,0.3,0.1,0.1,0.9,(3.3),2.7,4.5,2019,77.81409,9.359374,62.443287,53.251915,122.19445,0,707.9061,77.53442,709.052,339633540,0.71
Jamaica,69.2,72,0.72,10544.6,Central America/Caribbean,UM, 2.9 ,0.2,0.0,0.1,1.0,0.0,0.1,1.4,0.5,0.1,0.2,1.1,0.2,0.1,2.1,0.2,0.0,0.2,0.1,0.1,0.6,(1.5),1.4,3.7,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9476012,0.56
Japan,79.3,84,0.92,41723.6,Asia-Pacific,HI, 126.9 ,0.1,0.0,0.1,2.9,0.2,0.1,3.4,0.4,0.1,0.2,3.1,0.3,0.1,4.2,0.1,0.0,0.3,0.1,0.1,0.6,(3.6),2.7,6.7,2019,86.26822,4.780501,177.74182,19.651531,194.84937,166.02455,1081.2328,1362.5938,2112.3943,1105478000,0.92
Jordan,69.3,76,0.73,10071.2,Middle East/Central Asia,UM, 10.1 ,0.1,0.0,0.0,0.7,0.0,0.1,0.9,0.4,0.1,0.1,0.7,0.0,0.1,1.5,0.1,0.0,0.0,0.0,0.1,0.2,(1.3),1.0,7.0,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,24746842,0.91
Kazakhstan,71.9,73,0.82,26184.8,Middle East/Central Asia,UM, 18.6 ,1.8,0.3,0.0,3.6,0.0,0.0,5.8,0.0,0.3,0.1,3.3,0.0,0.0,3.7,1.8,1.7,0.2,0.0,0.0,3.8,0.0 ,2.4,1.0,2019,0.015856,0,1.0312475,1.8639841,26.343008,0,197.04109,400.9196,171.49724,275289760,0.58
Kenya,60.7,63,0.58,4918.07,Africa,LI, 52.6 ,0.2,0.2,0.2,0.1,0.0,0.0,0.8,0.3,0.2,0.2,0.2,0.0,0.0,0.9,0.2,0.2,0.0,0.0,0.0,0.5,(0.5),0.6,2.1,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19795976,0.28
"Korea, Democratic People's Republic of",,73,,,Asia-Pacific,LI, 25.7 ,0.2,0.0,0.1,0.7,0.0,0.1,1.1,0.3,0.0,0.1,0.7,0.0,0.1,1.2,0.2,0.0,0.2,0.1,0.1,0.6,(0.6),0.8,2.1,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Korea, Republic of",77.4,83,0.92,42850.3,Asia-Pacific,HI, 51.2 ,0.1,0.0,0.1,4.0,0.4,0.1,4.6,0.7,0.2,0.2,4.4,0.5,0.1,6.0,0.1,0.0,0.1,0.4,0.1,0.7,(5.3),3.9,9.1,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Kuwait,64.3,80,0.84,43994.8,Middle East/Central Asia,HI, 4.2 ,0.0,0.0,0.0,7.1,0.0,0.5,7.6,0.6,0.2,0.1,5.7,0.5,0.5,7.7,0.0,0.0,0.0,0.3,0.5,0.8,(6.9),4.9,10.0,2019,0,0,0.15430444,0.009600221,0,0,183.73247,2.2074833,234.1572,108548616,1
Kyrgyzstan,74.1,72,0.70,5298.56,Middle East/Central Asia,LI, 6.4 ,0.5,0.3,0.0,0.5,0.0,0.1,1.4,0.6,0.2,0.1,0.7,0.0,0.1,1.7,0.5,0.5,0.1,0.0,0.1,1.3,(0.4),1.1,1.3,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9042997,0.37
Lao People's Democratic Republic,63.4,68,0.61,7826.57,Asia-Pacific,LM, 7.2 ,0.7,0.1,0.4,0.8,0.0,0.2,2.2,0.7,0.2,0.3,0.3,0.0,0.2,1.7,0.7,0.1,0.6,0.0,0.2,1.7,(0.0),1.1,1.0,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Latvia,79.9,75,0.87,30927.6,EU-28,HI, 1.9 ,2.5,0.2,4.9,1.3,0.1,0.1,9.1,1.5,0.2,3.4,1.7,0.2,0.1,7.0,2.5,0.2,4.4,2.1,0.1,9.3,2.3 ,4.5,0.8,2019,2.960514,0.4159947,0.008269056,0.40593722,5.555454,0,13.118875,0.47666666,21.895447,7648483,0.68
Lebanon,65.1,79,0.75,14563.7,Middle East/Central Asia,UM, 6.9 ,0.1,0.0,0.0,1.6,0.0,0.1,1.8,0.6,0.3,0.1,2.0,0.1,0.1,3.2,0.1,0.0,0.0,0.0,0.1,0.3,(2.9),2.1,10.5,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,25661360,0.89
Lesotho,55.3,54,0.52,2708.37,Africa,LM, 2.1 ,,,,,,,1.2,,,,,,,1.3,,,,,,0.7,(0.6),0.9,1.8,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2388928,0.29
Liberia,50.0,61,0.48,1553.07,Africa,LI, 4.9 ,0.1,0.0,0.8,0.1,0.0,0.0,1.1,0.2,0.0,0.8,0.1,0.0,0.0,1.2,0.1,0.3,2.1,0.3,0.0,2.9,1.7 ,0.8,0.4,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,931662,0.52
Lithuania,,76,0.88,37237.5,EU-28,UM, 2.8 ,2.2,0.2,1.4,1.5,0.2,0.1,5.7,1.3,0.3,1.3,2.6,0.3,0.1,5.9,2.2,0.3,2.2,0.3,0.1,5.2,(0.7),3.8,1.1,2019,1.7020832,0.87296665,0.24013695,3.9523768,0.910465,0,21.57156,2.308555,39.03898,13707235,0.68
Luxembourg,75.1,83,0.93,118216,EU-28,HI, 0.6 ,0.4,0.1,0.4,5.1,0.0,0.1,6.1,1.0,0.6,1.2,9.2,0.1,0.1,12.3,0.4,0.1,0.7,0.0,0.1,1.3,(11.0),7.9,9.5,2019,0.88784474,1.489142,0.3436914,0.7414541,0.281825,0,7.955588,0.5321655,35.056538,9761764,0.91
Madagascar,49.9,66,0.51,1585.15,Africa,LI, 27.0 ,0.2,0.3,0.2,0.0,0.0,0.1,0.8,0.2,0.3,0.2,0.1,0.0,0.1,0.9,0.2,1.1,0.6,0.2,0.1,2.1,1.3 ,0.6,0.4,2019,0,0,0,0,0,0,0,0,0,4296739,0.38
Malawi,53.4,64,0.52,1411.37,Africa,LI, 18.6 ,0.4,0.1,0.2,0.0,0.0,0.1,0.7,0.4,0.1,0.2,0.1,0.0,0.1,0.8,0.4,0.1,0.0,0.0,0.1,0.6,(0.2),0.5,1.3,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1720779,0.17
Malaysia,70.2,76,0.81,27920.6,Asia-Pacific,UM, 32.0 ,0.7,0.0,0.3,2.5,0.5,0.1,4.2,0.7,0.1,0.4,2.3,0.6,0.1,4.3,0.7,0.0,0.5,0.8,0.1,2.1,(2.1),2.8,2.0,2019,3.626344,7.5312,3.8458836,0,69.05193,0,452.15112,244.72913,459.84583,279841950,0.77
Mali,53.8,60,0.43,2321.85,Africa,LI, 19.7 ,0.4,0.5,0.1,0.0,0.0,0.1,1.2,0.4,0.4,0.1,0.1,0.0,0.1,1.1,0.4,0.5,0.5,0.0,0.1,1.5,0.4 ,0.7,0.7,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5832595,0.43
Malta,76.4,83,0.92,47040.9,EU-28,HI, 0.4 ,,,,,,,1.3,,,,,,,4.4,,,,,,0.5,(3.9),2.8,8.8,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1648776,0.95
Martinique, , , , ,Central America/Caribbean,, 0.4 ,,,,,,,2.2,,,,,,,3.9,,,,,,0.5,(3.4),2.5,7.8,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Mauritania,,,,,Africa,LM, 4.5 ,0.1,1.5,0.2,0.2,0.3,0.0,2.4,0.4,1.3,0.2,0.4,0.0,0.0,2.4,0.1,2.6,0.1,1.2,0.0,4.0,1.6 ,1.5,0.6,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4620304,0.55
Mauritius,68.3,74,0.82,22851.6,Africa,UM, 1.3 ,,,,,,,1.8,,,,,,,3.2,,,,,,0.7,(2.5),2.1,4.5,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4521376,0.41
Mexico,70.3,74,0.78,19925.8,North America,UM, 127.6 ,0.4,0.2,0.2,1.2,0.1,0.1,2.1,0.6,0.2,0.3,1.3,0.1,0.1,2.5,0.4,0.2,0.4,0.1,0.1,1.2,(1.3),1.6,2.0,2019,19.481138,2.6959357,26.265673,44.09167,62.21535,28.304321,933.8935,150.41484,974.0515,468235650,0.8
Mongolia,63.6,72,0.75,12214.5,Asia-Pacific,LM, 3.2 ,0.4,5.8,0.1,2.3,0.0,0.0,8.7,0.4,4.7,0.2,2.4,0.0,0.0,7.7,0.4,7.2,6.5,0.1,0.0,14.2,6.5 ,5.0,0.5,2019,0,0,0,0,0,0,0,0,0,47243564,0.69
Montenegro,68.8,77,0.84,21559,Other Europe,UM, 0.6 ,0.0,0.2,1.1,1.3,0.0,0.3,3.0,0.6,0.4,1.1,2.0,0.1,0.3,4.5,0.0,0.3,1.9,0.2,0.3,2.8,(1.7),2.9,1.6,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2476864,0.67
Morocco,68.5,74,0.68,7857.9,Africa,LM, 36.5 ,0.4,0.2,0.1,0.6,0.1,0.0,1.4,0.6,0.2,0.1,0.7,0.1,0.0,1.7,0.4,0.2,0.1,0.1,0.0,0.7,(1.0),1.1,2.4,2019,0,0,4.1686897,12.386934,3.3286557,0,10.126819,77.487465,156.34242,68739730,0.63
Mozambique,53.5,61,0.46,1281.78,Africa,LI, 30.4 ,0.2,0.1,0.3,0.1,0.0,0.1,0.7,0.2,0.1,0.2,0.1,0.0,0.1,0.8,0.2,0.6,0.5,0.1,0.1,1.5,0.7 ,0.5,0.5,2019,0,0,0,0,0,0,0,0,0,7101099,0.37
Myanmar,65.6,67,0.60,4848.56,Asia-Pacific,LI, 54.0 ,0.5,0.0,0.3,0.2,0.1,0.1,1.2,0.5,0.0,0.3,0.3,0.0,0.1,1.2,0.5,0.0,0.5,0.3,0.1,1.4,0.2 ,0.8,0.8,2019,0,0,0,0,0,0,0,0,0,33620364,0.31
Namibia,63.2,63,0.64,9954.63,Africa,UM, 2.5 ,0.4,1.3,0.3,0.5,1.8,0.0,4.3,0.6,0.3,0.3,1.2,0.4,0.0,2.7,0.4,1.5,0.3,4.4,0.0,6.6,3.9 ,1.7,0.4,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4238951,0.51
Nepal,65.9,70,0.61,3952.76,Asia-Pacific,LI, 28.6 ,0.2,0.0,0.2,0.1,0.0,0.1,0.6,0.3,0.1,0.2,0.2,0.0,0.1,0.9,0.2,0.0,0.1,0.0,0.1,0.4,(0.5),0.6,2.2,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,12750490,0.2
Netherlands,79.7,82,0.94,57258.3,EU-28,HI, 17.1 ,,,,,,,3.6,,,,,,,6.4,,,,,,1.1,(5.2),4.1,5.6,2019,18.583979,8.080818,14.232684,30.334578,0.19554166,9.889584,371.6111,74.69444,494.70673,152422300,0.92
New Zealand,77.8,82,0.94,42056.7,Asia-Pacific,HI, 4.8 ,,,,,,,11.8,,,,,,,5.8,,,,,,8.8,3.0 ,3.7,0.7,2019,23.23508,0.04736861,0.33753416,5.9458766,67.47734,0,48.04402,16.648094,101.94943,36731820,0.87
Nicaragua,67.1,74,0.66,5466.61,Central America/Caribbean,LM, 6.5 ,0.6,0.5,0.4,0.3,0.1,0.1,1.9,0.5,0.2,0.4,0.4,0.0,0.1,1.6,0.6,0.5,0.7,0.4,0.1,2.4,0.8 ,1.0,0.7,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5222552,0.59
Niger,52.0,63,0.41,1224.34,Africa,LI, 23.3 ,0.7,0.4,0.2,0.0,0.0,0.0,1.3,0.7,0.4,0.2,0.1,0.0,0.0,1.4,0.7,0.4,0.0,0.0,0.0,1.1,(0.3),0.9,1.3,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2513365,0.17
Nigeria,54.1,53,0.54,5135.49,Africa,LM, 201.0 ,0.3,0.1,0.2,0.2,0.0,0.0,0.8,0.3,0.1,0.2,0.2,0.0,0.0,0.9,0.3,0.1,0.0,0.0,0.0,0.5,(0.4),0.5,1.8,2019,0,0,0,0,0,0,0,0,0,133823544,0.51
Norway,82.2,83,0.96,63164,Other Europe,HI, 5.4 ,0.2,0.1,1.5,2.6,4.1,0.1,8.7,0.9,0.1,0.9,2.6,0.7,0.1,5.3,0.2,0.1,3.5,2.9,0.1,6.9,1.6 ,3.4,0.8,2019,0.8076436,5.4447904,0.27682972,14.563746,330.25983,0,46.099327,9.07454,110.24315,42793000,0.83
Oman,68.9,78,0.84,29410.2,Middle East/Central Asia,HI, 5.0 ,0.1,0.0,0.0,5.4,0.8,0.4,6.6,0.6,0.3,0.1,4.5,0.5,0.4,6.4,0.1,0.0,0.0,1.2,0.4,1.6,(4.8),4.1,3.9,2019,0,0,0.04363861,0.02293297,0,0,249.96547,0.97515744,122.143265,71724520,0.85
Pakistan,59.2,67,0.55,5412.61,Asia-Pacific,LM, 216.6 ,0.3,0.0,0.1,0.3,0.0,0.0,0.7,0.2,0.0,0.1,0.3,0.0,0.0,0.7,0.3,0.0,0.0,0.0,0.0,0.4,(0.3),0.5,1.9,2019,1.9729521,0,1.8457997,8.298686,95.25408,23.227259,444.7297,156.56241,250.62538,207622380,0.37
Panama,65.5,78,0.82,31646.2,Central America/Caribbean,UM, 4.2 ,0.3,0.4,0.2,1.0,0.6,0.1,2.5,0.6,0.4,0.2,1.1,0.4,0.1,2.7,0.3,0.4,1.4,0.6,0.1,2.7,(0.0),1.8,1.0,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,13127958,0.68
Papua New Guinea,53.6,65,0.56,3808.51,Asia-Pacific,LM, 8.8 ,0.2,0.0,0.5,0.2,0.7,0.2,1.9,0.2,0.0,0.2,0.2,0.4,0.2,1.3,0.2,0.0,2.1,0.6,0.2,3.1,1.7 ,0.9,0.4,2019,0,0,0,0,0,0,0,0,0,7985714,0.13
Paraguay,67.6,74,0.73,12424.9,South America,LM, 7.0 ,1.7,2.0,0.9,0.4,0.0,0.1,5.1,0.3,1.0,0.9,0.7,0.0,0.1,2.9,1.7,2.4,5.5,0.1,0.1,9.7,6.8 ,1.9,0.3,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,8133305.5,0.62
Peru,72.1,76,0.78,12783.1,South America,UM, 32.5 ,0.5,0.5,0.1,0.6,0.5,0.1,2.2,0.6,0.5,0.2,0.6,0.3,0.1,2.3,0.5,0.5,2.4,0.2,0.1,3.7,1.3 ,1.5,0.6,2019,1.4512117,4.615903,2.1955013,4.362534,82.93322,0,82.11267,8.185528,140.72856,58365044,0.78
Philippines,66.7,72,0.72,8983.41,Asia-Pacific,LM, 108.1 ,0.2,0.0,0.1,0.4,0.2,0.1,0.9,0.3,0.0,0.1,0.5,0.2,0.1,1.3,0.2,0.0,0.1,0.1,0.1,0.4,(0.9),0.8,3.1,2019,30.363037,6.1082387,3.2846866,2.745787,21.202816,0,42.159954,203.31123,256.9457,143525810,0.47
Poland,80.6,78,0.88,33284.2,EU-28,HI, 37.9 ,0.8,0.1,0.7,2.6,0.0,0.1,4.4,0.8,0.0,0.9,2.6,0.1,0.1,4.5,0.8,0.1,0.7,0.1,0.1,1.8,(2.7),2.9,2.5,2019,24.525654,11.434799,1.8733144,39.820995,5.16233,0,208.88777,516.0783,379.48453,317724830,0.6
Portugal,78.7,82,0.87,34989.2,EU-28,HI, 10.2 ,0.4,0.2,0.9,1.5,0.3,0.1,3.2,1.0,0.4,0.3,2.0,0.4,0.1,4.2,0.4,0.2,0.8,0.1,0.1,1.5,(2.7),2.7,2.7,2019,11.279219,3.1829445,3.5374749,36.025833,23.244003,0,61.35022,14.518099,139.91884,47583116,0.66
Qatar,66.5,81,0.86,91022.9,Middle East/Central Asia,HI, 2.8 ,0.0,0.0,0.0,11.6,0.1,0.1,11.8,0.8,0.3,0.2,10.5,0.2,0.1,12.0,0.0,0.0,0.0,0.9,0.1,1.0,(11.0),7.7,12.2,2019,0.37532333,0,0.022047278,0,0,0,413.66946,0.4123775,169.01854,101018984,0.99
Republic of Moldova,73.5,71,0.77,12947,Other Europe,LM, 4.0 ,,,,,,,2.6,,,,,,,2.2,,,,,,1.6,(0.6),1.4,1.4,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Republic of North Macedonia,72.1,77,0.78,16712.3,Other Europe,UM, 2.1 ,0.5,0.2,0.2,1.4,0.0,0.0,2.2,0.7,0.3,0.3,1.6,0.0,0.0,3.0,0.5,0.3,0.7,0.0,0.0,1.5,(1.5),1.9,2.0,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Réunion,,,,,Africa,, 0.9 ,,,,,,,1.8,,,,,,,4.2,,,,,,0.1,(4.1),2.7,33.5,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Romania,,,,,EU-28,UM, 19.4 ,1.4,0.2,0.5,1.3,0.0,0.1,3.4,1.1,0.1,0.5,1.4,0.0,0.1,3.3,1.4,0.2,1.1,0.1,0.1,2.9,(0.4),2.1,1.1,2019,1.6093305,4.29983,4.6867585,17.853441,41.070877,28.532404,107.749794,57.781013,120.23408,76457096,0.54
Russia,73.7,73,0.85,27341.1,Other Europe,UM, 145.9 ,1.8,0.0,1.0,3.9,0.4,0.0,7.1,1.2,0.1,0.7,3.6,0.3,0.0,5.8,1.8,0.3,4.2,1.2,0.0,7.5,1.7 ,3.8,0.8,2019,1.4347122,1.5646111,2.5965648,0.8298305,512.3701,528.6227,4443.1274,990.7597,1888.7245,1705030900,0.75
Rwanda,59.5,66,0.53,2268.35,Africa,LI, 12.6 ,0.2,0.0,0.2,0.0,0.0,0.0,0.5,0.2,0.0,0.2,0.1,0.0,0.0,0.6,0.2,0.0,0.0,0.0,0.0,0.3,(0.3),0.4,2.2,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1372734,0.17
Saint Lucia, ,73,0.74,15452.2,Central America/Caribbean,UM, 0.2 ,0.1,0.0,0.0,0.6,0.1,0.0,0.8,0.5,0.2,0.1,0.9,0.2,0.0,1.9,0.1,0.0,0.1,0.1,0.0,0.4,(1.6),1.3,5.1,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,501968.03,0.19
Saint Vincent and Grenadines,,73,0.77,13460.8,Central America/Caribbean,UM, 0.1 ,,,,,,,0.9,,,,,,,2.2,,,,,,1.1,(1.0),1.4,1.9,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Samoa,,72,0.72,5791.78,Asia-Pacific,LM, 0.2 ,,,,,,,1.8,,,,,,,2.7,,,,,,1.8,(0.9),1.7,1.5,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,271136,0.18
Sao Tome and Principe,59.2,69,0.62,4009.05,Africa,LM, 0.2 ,,,,,,,0.9,,,,,,,0.9,,,,,,0.8,(0.2),0.6,1.3,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,142896,0.74
Saudi Arabia,65.5,77,0.87,47069.1,Middle East/Central Asia,HI, 34.3 ,0.4,0.1,0.0,5.1,0.0,0.0,5.6,0.9,0.2,0.1,4.5,0.1,0.0,5.8,0.4,0.1,0.1,0.1,0.0,0.7,(5.0),3.7,8.2,2019,0,0,0.5449519,0.015009222,0,0,1111.5,1.172558,1854.1469,657587840,0.84
